Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Motorcycle_Moped,Involving_Truck,Involving_Bus,Count_Crashes,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_All
2002,Brisbane,Fatal,Yes,No,No,8,8,1,1,0,10
2002,Brisbane,Fatal,Yes,Yes,No,2,2,0,0,0,2
2002,Brisbane,Hospitalisation,No,No,No,976,0,1194,159,91,1444
2002,Brisbane,Hospitalisation,No,No,Yes,35,0,43,14,3,60
2002,Brisbane,Hospitalisation,No,Yes,No,80,0,87,7,4,98
2002,Brisbane,Hospitalisation,No,Yes,Yes,2,0,2,0,0,2
2002,Brisbane,Hospitalisation,Yes,No,No,199,0,207,6,7,220
2002,Brisbane,Hospitalisation,Yes,No,Yes,1,0,1,0,0,1
2002,Brisbane,Hospitalisation,Yes,Yes,No,7,0,7,0,0,7
2002,Brisbane,Medical treatment,No,No,No,1792,0,0,2121,142,2263
2002,Brisbane,Medical treatment,No,No,Yes,40,0,0,50,4,54
2002,Brisbane,Medical treatment,No,Yes,No,115,0,0,136,7,143
2002,Brisbane,Medical treatment,No,Yes,Yes,3,0,0,4,2,6
2002,Brisbane,Medical treatment,Yes,No,No,143,0,0,151,1,152
2002,Brisbane,Medical treatment,Yes,No,Yes,2,0,0,2,0,2
2002,Brisbane,Medical treatment,Yes,Yes,No,3,0,0,3,0,3
2002,Brisbane,Minor injury,No,No,No,1068,0,0,0,1298,1298
2002,Brisbane,Minor injury,No,No,Yes,22,0,0,0,31,31
2002,Brisbane,Minor injury,No,Yes,No,80,0,0,0,87,87
2002,Brisbane,Minor injury,Yes,No,No,83,0,0,0,85,85
2002,Brisbane,Property damage only,No,No,No,2195,0,0,0,0,0
2002,Brisbane,Property damage only,No,No,Yes,26,0,0,0,0,0
2002,Brisbane,Property damage only,No,Yes,No,227,0,0,0,0,0
2002,Brisbane,Property damage only,Yes,No,No,6,0,0,0,0,0
2002,Central,Fatal,No,No,No,57,69,64,10,3,146
2002,Central,Fatal,No,No,Yes,1,2,1,0,0,3
2002,Central,Fatal,No,Yes,No,15,18,4,4,1,27
2002,Central,Fatal,Yes,No,No,12,13,2,0,2,17
2002,Central,Fatal,Yes,Yes,No,1,1,0,0,0,1
2002,Central,Hospitalisation,No,No,No,756,0,950,132,65,1147
2002,Central,Hospitalisation,No,No,Yes,11,0,12,1,4,17
2002,Central,Hospitalisation,No,Yes,No,70,0,90,15,12,117
2002,Central,Hospitalisation,Yes,No,No,145,0,156,8,5,169
2002,Central,Hospitalisation,Yes,Yes,No,2,0,2,0,0,2
2002,Central,Medical treatment,No,No,No,878,0,0,1074,63,1137
2002,Central,Medical treatment,No,No,Yes,19,0,0,47,10,57
2002,Central,Medical treatment,No,Yes,No,74,0,0,91,8,99
2002,Central,Medical treatment,Yes,No,No,103,0,0,110,4,114
2002,Central,Minor injury,No,No,No,528,0,0,0,619,619
2002,Central,Minor injury,No,No,Yes,9,0,0,0,11,11
2002,Central,Minor injury,No,Yes,No,29,0,0,0,33,33
2002,Central,Minor injury,Yes,No,No,51,0,0,0,55,55
2002,Central,Property damage only,No,No,No,1901,0,0,0,0,0
2002,Central,Property damage only,No,No,Yes,14,0,0,0,0,0
2002,Central,Property damage only,No,Yes,No,132,0,0,0,0,0
2002,Central,Property damage only,Yes,No,No,3,0,0,0,0,0
2002,Northern,Fatal,No,No,No,31,33,27,5,2,67
2002,Northern,Fatal,No,No,Yes,2,2,1,0,0,3
2002,Northern,Fatal,No,Yes,No,6,7,6,2,0,15
2002,Northern,Fatal,Yes,No,No,3,3,1,1,0,5
2002,Northern,Fatal,Yes,Yes,No,1,1,0,0,0,1
2002,Northern,Hospitalisation,No,No,No,423,0,534,84,38,656
2002,Northern,Hospitalisation,No,No,Yes,6,0,11,1,1,13
2002,Northern,Hospitalisation,No,Yes,No,36,0,37,5,3,45
2002,Northern,Hospitalisation,Yes,No,No,112,0,118,4,3,125
2002,Northern,Hospitalisation,Yes,No,Yes,1,0,1,0,0,1
2002,Northern,Hospitalisation,Yes,Yes,No,4,0,4,0,0,4
2002,Northern,Medical treatment,No,No,No,467,0,0,579,38,617
2002,Northern,Medical treatment,No,No,Yes,9,0,0,18,0,18
2002,Northern,Medical treatment,No,Yes,No,15,0,0,21,1,22
2002,Northern,Medical treatment,Yes,No,No,51,0,0,53,2,55
2002,Northern,Medical treatment,Yes,Yes,No,3,0,0,3,0,3
2002,Northern,Minor injury,No,No,No,277,0,0,0,332,332
2002,Northern,Minor injury,No,No,Yes,6,0,0,0,9,9
2002,Northern,Minor injury,No,Yes,No,15,0,0,0,23,23
2002,Northern,Minor injury,No,Yes,Yes,1,0,0,0,1,1
2002,Northern,Minor injury,Yes,No,No,35,0,0,0,37,37
2002,Northern,Property damage only,No,No,No,990,0,0,0,0,0
2002,Northern,Property damage only,No,No,Yes,14,0,0,0,0,0
2002,Northern,Property damage only,No,Yes,No,87,0,0,0,0,0
2002,Northern,Property damage only,Yes,No,No,3,0,0,0,0,0
2002,South Eastern,Fatal,No,No,No,29,34,15,6,1,56
2002,South Eastern,Fatal,No,No,Yes,1,1,0,0,0,1
2002,South Eastern,Fatal,No,Yes,No,3,3,0,0,0,3
2002,South Eastern,Fatal,Yes,No,No,13,13,3,2,0,18
2002,South Eastern,Fatal,Yes,No,Yes,1,1,0,0,0,1
2002,South Eastern,Hospitalisation,No,No,No,636,0,794,84,33,911
2002,South Eastern,Hospitalisation,No,No,Yes,13,0,15,2,3,20
2002,South Eastern,Hospitalisation,No,Yes,No,30,0,33,5,6,44
2002,South Eastern,Hospitalisation,No,Yes,Yes,1,0,1,0,0,1
2002,South Eastern,Hospitalisation,Yes,No,No,121,0,132,9,2,143
2002,South Eastern,Hospitalisation,Yes,Yes,No,1,0,1,0,0,1
2002,South Eastern,Medical treatment,No,No,No,990,0,0,1224,77,1301
2002,South Eastern,Medical treatment,No,No,Yes,23,0,0,34,8,42
2002,South Eastern,Medical treatment,No,Yes,No,44,0,0,52,3,55
2002,South Eastern,Medical treatment,No,Yes,Yes,1,0,0,1,1,2
2002,South Eastern,Medical treatment,Yes,No,No,72,0,0,77,3,80
2002,South Eastern,Medical treatment,Yes,No,Yes,1,0,0,1,0,1
2002,South Eastern,Medical treatment,Yes,Yes,No,4,0,0,4,0,4
2002,South Eastern,Minor injury,No,No,No,519,0,0,0,633,633
2002,South Eastern,Minor injury,No,No,Yes,10,0,0,0,13,13
2002,South Eastern,Minor injury,No,Yes,No,27,0,0,0,33,33
2002,South Eastern,Minor injury,Yes,No,No,31,0,0,0,33,33
2002,South Eastern,Property damage only,No,No,No,1131,0,0,0,0,0
2002,South Eastern,Property damage only,No,No,Yes,12,0,0,0,0,0
2002,South Eastern,Property damage only,No,Yes,No,77,0,0,0,0,0
2002,South Eastern,Property damage only,Yes,No,No,2,0,0,0,0,0
2002,Southern,Fatal,No,No,No,42,52,32,3,1,88
2002,Southern,Fatal,No,Yes,No,10,11,2,2,0,15
2002,Southern,Fatal,Yes,No,No,11,11,1,2,1,15
2002,Southern,Fatal,Yes,Yes,No,2,2,0,0,0,2
2002,Southern,Hospitalisation,No,No,No,602,0,761,126,53,940
2002,Southern,Hospitalisation,No,No,Yes,6,0,10,4,0,14
2002,Southern,Hospitalisation,No,Yes,No,60,0,70,9,1,80
2002,Southern,Hospitalisation,No,Yes,Yes,1,0,2,0,0,2
2002,Southern,Hospitalisation,Yes,No,No,103,0,110,7,2,119
2002,Southern,Hospitalisation,Yes,Yes,No,2,0,2,0,0,2
2002,Southern,Medical treatment,No,No,No,715,0,0,912,68,980
2002,Southern,Medical treatment,No,No,Yes,6,0,0,23,0,23
2002,Southern,Medical treatment,No,Yes,No,63,0,0,72,5,77
2002,Southern,Medical treatment,Yes,No,No,55,0,0,60,1,61
2002,Southern,Medical treatment,Yes,Yes,No,1,0,0,1,0,1
2002,Southern,Minor injury,No,No,No,447,0,0,0,546,546
2002,Southern,Minor injury,No,No,Yes,7,0,0,0,8,8
2002,Southern,Minor injury,No,Yes,No,40,0,0,0,44,44
2002,Southern,Minor injury,Yes,No,No,33,0,0,0,35,35
2002,Southern,Minor injury,Yes,Yes,No,1,0,0,0,1,1
2002,Southern,Property damage only,No,No,No,1446,0,0,0,0,0
2002,Southern,Property damage only,No,No,Yes,14,0,0,0,0,0
2002,Southern,Property damage only,No,Yes,No,165,0,0,0,0,0
2002,Southern,Property damage only,Yes,No,No,5,0,0,0,0,0
2002,Unknown,Hospitalisation,No,No,No,22,0,30,7,1,38
2002,Unknown,Hospitalisation,No,Yes,No,2,0,2,0,0,2
2002,Unknown,Hospitalisation,Yes,No,No,8,0,10,0,0,10
2002,Unknown,Medical treatment,No,No,No,26,0,0,29,0,29
2002,Unknown,Medical treatment,No,No,Yes,2,0,0,2,0,2
2002,Unknown,Medical treatment,No,Yes,No,4,0,0,4,0,4
2002,Unknown,Medical treatment,Yes,No,No,6,0,0,6,0,6
2002,Unknown,Minor injury,No,No,No,12,0,0,0,14,14
2002,Unknown,Minor injury,No,No,Yes,1,0,0,0,1,1
2002,Unknown,Minor injury,No,Yes,No,2,0,0,0,4,4
2002,Unknown,Minor injury,Yes,No,No,1,0,0,0,1,1
2002,Unknown,Property damage only,No,No,No,41,0,0,0,0,0
2002,Unknown,Property damage only,No,Yes,No,2,0,0,0,0,0
2002,Unknown,Property damage only,Yes,No,No,2,0,0,0,0,0
2003,Brisbane,Fatal,No,No,No,33,33,11,7,0,51
2003,Brisbane,Fatal,No,No,Yes,2,2,1,0,0,3
2003,Brisbane,Fatal,No,Yes,No,12,12,4,1,1,18
2003,Brisbane,Fatal,Yes,No,No,9,9,1,1,1,12
2003,Brisbane,Fatal,Yes,Yes,No,1,1,0,0,0,1
2003,Brisbane,Hospitalisation,No,No,No,1014,0,1236,153,68,1457
2003,Brisbane,Hospitalisation,No,No,Yes,22,0,29,15,0,44
2003,Brisbane,Hospitalisation,No,Yes,No,93,0,112,6,10,128
2003,Brisbane,Hospitalisation,No,Yes,Yes,1,0,1,0,0,1
2003,Brisbane,Hospitalisation,Yes,No,No,179,0,184,3,7,194
2003,Brisbane,Hospitalisation,Yes,No,Yes,1,0,1,0,0,1
2003,Brisbane,Hospitalisation,Yes,Yes,No,7,0,7,0,0,7
2003,Brisbane,Medical treatment,No,No,No,1748,0,0,2135,150,2285
2003,Brisbane,Medical treatment,No,No,Yes,39,0,0,44,4,48
2003,Brisbane,Medical treatment,No,Yes,No,142,0,0,165,5,170
2003,Brisbane,Medical treatment,No,Yes,Yes,3,0,0,5,3,8
2003,Brisbane,Medical treatment,Yes,No,No,146,0,0,153,6,159
2003,Brisbane,Medical treatment,Yes,No,Yes,1,0,0,1,0,1
2003,Brisbane,Medical treatment,Yes,Yes,No,6,0,0,6,0,6
2003,Brisbane,Minor injury,No,No,No,1059,0,0,0,1297,1297
2003,Brisbane,Minor injury,No,No,Yes,25,0,0,0,31,31
2003,Brisbane,Minor injury,No,Yes,No,85,0,0,0,93,93
2003,Brisbane,Minor injury,No,Yes,Yes,1,0,0,0,1,1
2003,Brisbane,Minor injury,Yes,No,No,73,0,0,0,78,78
2003,Brisbane,Minor injury,Yes,Yes,No,7,0,0,0,8,8
2003,Brisbane,Property damage only,No,No,No,2258,0,0,0,0,0
2003,Brisbane,Property damage only,No,No,Yes,37,0,0,0,0,0
2003,Brisbane,Property damage only,No,Yes,No,218,0,0,0,0,0
2003,Brisbane,Property damage only,No,Yes,Yes,3,0,0,0,0,0
2003,Brisbane,Property damage only,Yes,No,No,7,0,0,0,0,0
2003,Central,Fatal,No,No,No,66,74,45,20,2,141
2003,Central,Fatal,No,No,Yes,1,1,3,2,2,8
2003,Central,Fatal,No,Yes,No,17,21,5,8,2,36
2003,Central,Fatal,Yes,No,No,17,17,2,2,0,21
2003,Central,Hospitalisation,No,No,No,714,0,937,133,44,1114
2003,Central,Hospitalisation,No,No,Yes,9,0,12,4,1,17
2003,Central,Hospitalisation,No,Yes,No,65,0,77,6,3,86
2003,Central,Hospitalisation,No,Yes,Yes,1,0,2,1,0,3
2003,Central,Hospitalisation,Yes,No,No,137,0,146,6,1,153
2003,Central,Hospitalisation,Yes,No,Yes,2,0,2,0,0,2
2003,Central,Hospitalisation,Yes,Yes,No,7,0,10,1,1,12
2003,Central,Medical treatment,No,No,No,865,0,0,1090,73,1163
2003,Central,Medical treatment,No,No,Yes,16,0,0,24,0,24
2003,Central,Medical treatment,No,Yes,No,46,0,0,51,2,53
2003,Central,Medical treatment,Yes,No,No,91,0,0,91,2,93
2003,Central,Medical treatment,Yes,Yes,No,1,0,0,1,0,1
2003,Central,Minor injury,No,No,No,539,0,0,0,636,636
2003,Central,Minor injury,No,No,Yes,6,0,0,0,6,6
2003,Central,Minor injury,No,Yes,No,35,0,0,0,37,37
2003,Central,Minor injury,No,Yes,Yes,1,0,0,0,10,10
2003,Central,Minor injury,Yes,No,No,50,0,0,0,53,53
2003,Central,Minor injury,Yes,Yes,No,1,0,0,0,1,1
2003,Central,Property damage only,No,No,No,1891,0,0,0,0,0
2003,Central,Property damage only,No,No,Yes,17,0,0,0,0,0
2003,Central,Property damage only,No,Yes,No,146,0,0,0,0,0
2003,Central,Property damage only,Yes,No,No,3,0,0,0,0,0
2003,Northern,Fatal,No,No,No,27,29,28,7,2,66
2003,Northern,Fatal,No,Yes,No,5,5,1,0,0,6
2003,Northern,Fatal,Yes,No,No,3,3,0,0,0,3
2003,Northern,Hospitalisation,No,No,No,435,0,552,76,34,662
2003,Northern,Hospitalisation,No,No,Yes,5,0,6,0,0,6
2003,Northern,Hospitalisation,No,Yes,No,35,0,42,1,0,43
2003,Northern,Hospitalisation,Yes,No,No,99,0,106,6,2,114
2003,Northern,Hospitalisation,Yes,Yes,No,2,0,2,0,0,2
2003,Northern,Medical treatment,No,No,No,415,0,0,514,30,544
2003,Northern,Medical treatment,No,No,Yes,4,0,0,5,0,5
2003,Northern,Medical treatment,No,Yes,No,24,0,0,28,9,37
2003,Northern,Medical treatment,No,Yes,Yes,1,0,0,2,0,2
2003,Northern,Medical treatment,Yes,No,No,63,0,0,67,5,72
2003,Northern,Minor injury,No,No,No,293,0,0,0,341,341
2003,Northern,Minor injury,No,No,Yes,10,0,0,0,11,11
2003,Northern,Minor injury,No,Yes,No,24,0,0,0,29,29
2003,Northern,Minor injury,No,Yes,Yes,1,0,0,0,2,2
2003,Northern,Minor injury,Yes,No,No,34,0,0,0,36,36
2003,Northern,Property damage only,No,No,No,985,0,0,0,0,0
2003,Northern,Property damage only,No,No,Yes,20,0,0,0,0,0
2003,Northern,Property damage only,No,Yes,No,94,0,0,0,0,0
2003,Northern,Property damage only,Yes,No,No,1,0,0,0,0,0
2003,Northern,Property damage only,Yes,No,Yes,1,0,0,0,0,0
2003,South Eastern,Fatal,No,No,No,27,29,7,2,0,38
2003,South Eastern,Fatal,No,Yes,No,3,3,1,0,0,4
2003,South Eastern,Fatal,Yes,No,No,6,6,0,0,0,6
2003,South Eastern,Fatal,Yes,Yes,No,1,1,0,0,0,1
2003,South Eastern,Hospitalisation,No,No,No,694,0,886,83,50,1019
2003,South Eastern,Hospitalisation,No,No,Yes,21,0,30,8,6,44
2003,South Eastern,Hospitalisation,No,Yes,No,55,0,64,8,2,74
2003,South Eastern,Hospitalisation,Yes,No,No,141,0,155,7,4,166
2003,South Eastern,Hospitalisation,Yes,No,Yes,1,0,1,0,0,1
2003,South Eastern,Hospitalisation,Yes,Yes,No,4,0,4,0,0,4
2003,South Eastern,Hospitalisation,Yes,Yes,Yes,1,0,2,1,0,3
2003,South Eastern,Medical treatment,No,No,No,940,0,0,1171,84,1255
2003,South Eastern,Medical treatment,No,No,Yes,13,0,0,19,1,20
2003,South Eastern,Medical treatment,No,Yes,No,29,0,0,36,3,39
2003,South Eastern,Medical treatment,No,Yes,Yes,3,0,0,8,1,9
2003,South Eastern,Medical treatment,Yes,No,No,86,0,0,91,3,94
2003,South Eastern,Medical treatment,Yes,No,Yes,1,0,0,1,0,1
2003,South Eastern,Medical treatment,Yes,Yes,No,1,0,0,1,0,1
2003,South Eastern,Minor injury,No,No,No,508,0,0,0,615,615
2003,South Eastern,Minor injury,No,No,Yes,8,0,0,0,10,10
2003,South Eastern,Minor injury,No,Yes,No,19,0,0,0,26,26
2003,South Eastern,Minor injury,Yes,No,No,32,0,0,0,33,33
2003,South Eastern,Property damage only,No,No,No,1222,0,0,0,0,0
2003,South Eastern,Property damage only,No,No,Yes,19,0,0,0,0,0
2003,South Eastern,Property damage only,No,Yes,No,78,0,0,0,0,0
2003,South Eastern,Property damage only,No,Yes,Yes,1,0,0,0,0,0
2003,South Eastern,Property damage only,Yes,No,No,1,0,0,0,0,0
2003,Southern,Fatal,No,No,No,39,46,29,7,3,85
2003,Southern,Fatal,No,No,Yes,1,1,0,0,0,1
2003,Southern,Fatal,No,Yes,No,10,12,2,0,1,15
2003,Southern,Fatal,Yes,No,No,4,5,4,0,0,9
2003,Southern,Hospitalisation,No,No,No,644,0,817,79,47,943
2003,Southern,Hospitalisation,No,No,Yes,5,0,17,0,0,17
2003,Southern,Hospitalisation,No,Yes,No,69,0,78,6,7,91
2003,Southern,Hospitalisation,No,Yes,Yes,1,0,3,0,0,3
2003,Southern,Hospitalisation,Yes,No,No,89,0,95,4,2,101
2003,Southern,Hospitalisation,Yes,Yes,No,4,0,4,0,0,4
2003,Southern,Medical treatment,No,No,No,653,0,0,820,40,860
2003,Southern,Medical treatment,No,No,Yes,15,0,0,19,1,20
2003,Southern,Medical treatment,No,Yes,No,54,0,0,62,2,64
2003,Southern,Medical treatment,Yes,No,No,62,0,0,64,1,65
2003,Southern,Minor injury,No,No,No,408,0,0,0,496,496
