Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Male_Driver,Involving_Female_Driver,Involving_Young_Driver_16-24,Involving_Senior_Driver_60plus,Involving_Provisional_Driver,Involving_Overseas_Licensed_Driver,Involving_Unlicensed_Driver,Count_Crashes,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_All
2001,Brisbane,Hospitalisation,No,Yes,No,Yes,Yes,No,No,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,No,Yes,Yes,No,No,No,No,26,0,28,3,3,34
2001,Brisbane,Hospitalisation,No,Yes,Yes,No,No,No,Yes,2,0,5,0,0,5
2001,Brisbane,Hospitalisation,No,Yes,Yes,No,No,Yes,No,2,0,2,1,0,3
2001,Brisbane,Hospitalisation,No,Yes,Yes,No,Yes,No,No,49,0,55,5,2,62
2001,Brisbane,Hospitalisation,No,Yes,Yes,No,Yes,No,Yes,1,0,2,0,0,2
2001,Brisbane,Hospitalisation,No,Yes,Yes,Yes,No,No,No,1,0,2,0,0,2
2001,Brisbane,Hospitalisation,No,Yes,Yes,Yes,Yes,No,No,1,0,2,0,0,2
2001,Brisbane,Hospitalisation,Yes,No,No,No,No,No,No,276,0,305,10,13,328
2001,Brisbane,Hospitalisation,Yes,No,No,No,No,No,Yes,21,0,28,3,0,31
2001,Brisbane,Hospitalisation,Yes,No,No,No,No,Yes,No,4,0,4,0,0,4
2001,Brisbane,Hospitalisation,Yes,No,No,No,Yes,No,No,13,0,13,0,0,13
2001,Brisbane,Hospitalisation,Yes,No,No,Yes,No,No,No,78,0,87,9,2,98
2001,Brisbane,Hospitalisation,Yes,No,No,Yes,No,No,Yes,3,0,4,1,0,5
2001,Brisbane,Hospitalisation,Yes,No,No,Yes,Yes,No,No,3,0,3,0,0,3
2001,Brisbane,Hospitalisation,Yes,No,Yes,No,No,No,No,90,0,102,13,3,118
2001,Brisbane,Hospitalisation,Yes,No,Yes,No,No,No,Yes,25,0,32,4,1,37
2001,Brisbane,Hospitalisation,Yes,No,Yes,No,No,Yes,No,5,0,6,2,1,9
2001,Brisbane,Hospitalisation,Yes,No,Yes,No,Yes,No,No,102,0,127,14,14,155
2001,Brisbane,Hospitalisation,Yes,No,Yes,No,Yes,No,Yes,2,0,3,0,0,3
2001,Brisbane,Hospitalisation,Yes,No,Yes,No,Yes,Yes,No,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,Yes,No,Yes,Yes,No,No,No,6,0,8,1,0,9
2001,Brisbane,Hospitalisation,Yes,No,Yes,Yes,Yes,No,No,2,0,3,0,2,5
2001,Brisbane,Hospitalisation,Yes,Yes,No,No,No,No,No,103,0,125,12,8,145
2001,Brisbane,Hospitalisation,Yes,Yes,No,No,No,No,Yes,6,0,7,2,1,10
2001,Brisbane,Hospitalisation,Yes,Yes,No,No,No,Yes,No,2,0,2,0,0,2
2001,Brisbane,Hospitalisation,Yes,Yes,No,No,Yes,No,No,7,0,8,2,2,12
2001,Brisbane,Hospitalisation,Yes,Yes,No,Yes,No,No,No,43,0,48,18,6,72
2001,Brisbane,Hospitalisation,Yes,Yes,No,Yes,No,No,Yes,4,0,6,5,1,12
2001,Brisbane,Hospitalisation,Yes,Yes,No,Yes,No,Yes,No,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,Yes,Yes,No,Yes,Yes,No,No,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,No,No,No,62,0,74,3,4,81
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,No,No,Yes,4,0,5,3,1,9
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,No,Yes,No,3,0,4,0,0,4
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,Yes,No,No,70,0,87,13,8,108
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,Yes,No,Yes,2,0,3,1,0,4
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,Yes,Yes,No,1,0,1,1,0,2
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,Yes,No,No,No,10,0,11,0,0,11
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,Yes,No,No,Yes,1,0,2,0,0,2
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,Yes,Yes,No,No,4,0,4,3,0,7
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,Yes,Yes,No,Yes,1,0,1,1,0,2
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,Yes,Yes,Yes,No,1,0,1,0,0,1
2001,Brisbane,Medical treatment,No,No,No,No,No,No,No,37,0,0,38,0,38
2001,Brisbane,Medical treatment,No,Yes,No,No,No,No,No,208,0,0,238,5,243
2001,Brisbane,Medical treatment,No,Yes,No,No,No,No,Yes,1,0,0,1,0,1
2001,Brisbane,Medical treatment,No,Yes,No,No,No,Yes,No,2,0,0,2,0,2
2001,Brisbane,Medical treatment,No,Yes,No,No,Yes,No,No,2,0,0,2,0,2
2001,Brisbane,Medical treatment,No,Yes,No,Yes,No,No,No,33,0,0,37,3,40
2001,Brisbane,Medical treatment,No,Yes,No,Yes,Yes,No,No,1,0,0,1,0,1
2001,Brisbane,Medical treatment,No,Yes,Yes,No,No,No,No,50,0,0,64,2,66
2001,Brisbane,Medical treatment,No,Yes,Yes,No,No,No,Yes,3,0,0,4,0,4
2001,Brisbane,Medical treatment,No,Yes,Yes,No,No,Yes,No,1,0,0,1,0,1
2001,Brisbane,Medical treatment,No,Yes,Yes,No,Yes,No,No,77,0,0,88,7,95
2001,Brisbane,Medical treatment,No,Yes,Yes,No,Yes,No,Yes,1,0,0,1,0,1
2001,Brisbane,Medical treatment,No,Yes,Yes,Yes,No,No,No,5,0,0,6,0,6
2001,Brisbane,Medical treatment,No,Yes,Yes,Yes,Yes,No,No,2,0,0,2,0,2
2001,Brisbane,Medical treatment,Yes,No,No,No,No,No,No,411,0,0,476,13,489
2001,Brisbane,Medical treatment,Yes,No,No,No,No,No,Yes,30,0,0,33,2,35
2001,Brisbane,Medical treatment,Yes,No,No,No,No,Yes,No,10,0,0,11,1,12
2001,Brisbane,Medical treatment,Yes,No,No,No,No,Yes,Yes,1,0,0,2,0,2
2001,Brisbane,Medical treatment,Yes,No,No,No,Yes,No,No,18,0,0,21,4,25
2001,Brisbane,Medical treatment,Yes,No,No,Yes,No,No,No,108,0,0,131,3,134
2001,Brisbane,Medical treatment,Yes,No,No,Yes,No,No,Yes,3,0,0,4,0,4
2001,Brisbane,Medical treatment,Yes,No,No,Yes,No,Yes,No,1,0,0,1,0,1
2001,Brisbane,Medical treatment,Yes,No,No,Yes,Yes,No,No,2,0,0,2,1,3
2001,Brisbane,Medical treatment,Yes,No,Yes,No,No,No,No,134,0,0,145,9,154
2001,Brisbane,Medical treatment,Yes,No,Yes,No,No,No,Yes,14,0,0,15,6,21
2001,Brisbane,Medical treatment,Yes,No,Yes,No,No,Yes,No,5,0,0,7,1,8
2001,Brisbane,Medical treatment,Yes,No,Yes,No,Yes,No,No,163,0,0,194,12,206
2001,Brisbane,Medical treatment,Yes,No,Yes,No,Yes,No,Yes,1,0,0,1,0,1
2001,Brisbane,Medical treatment,Yes,No,Yes,No,Yes,Yes,No,2,0,0,6,0,6
2001,Brisbane,Medical treatment,Yes,No,Yes,Yes,No,No,No,11,0,0,11,2,13
2001,Brisbane,Medical treatment,Yes,No,Yes,Yes,No,No,Yes,1,0,0,1,0,1
2001,Brisbane,Medical treatment,Yes,No,Yes,Yes,Yes,No,No,18,0,0,24,2,26
2001,Brisbane,Medical treatment,Yes,Yes,No,No,No,No,No,305,0,0,354,32,386
2001,Brisbane,Medical treatment,Yes,Yes,No,No,No,No,Yes,12,0,0,14,0,14
2001,Brisbane,Medical treatment,Yes,Yes,No,No,No,Yes,No,4,0,0,5,2,7
2001,Brisbane,Medical treatment,Yes,Yes,No,No,Yes,No,No,15,0,0,16,3,19
2001,Brisbane,Medical treatment,Yes,Yes,No,Yes,No,No,No,74,0,0,91,6,97
2001,Brisbane,Medical treatment,Yes,Yes,No,Yes,No,No,Yes,2,0,0,2,0,2
2001,Brisbane,Medical treatment,Yes,Yes,No,Yes,No,Yes,No,2,0,0,2,0,2
2001,Brisbane,Medical treatment,Yes,Yes,No,Yes,Yes,No,No,1,0,0,1,0,1
2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,No,No,No,146,0,0,183,10,193
2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,No,No,Yes,11,0,0,11,0,11
2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,No,Yes,No,3,0,0,5,0,5
2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,No,Yes,Yes,1,0,0,6,0,6
2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,Yes,No,No,194,0,0,240,19,259
2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,Yes,No,Yes,7,0,0,7,0,7
2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,Yes,Yes,No,2,0,0,3,0,3
2001,Brisbane,Medical treatment,Yes,Yes,Yes,Yes,No,No,No,21,0,0,30,0,30
2001,Brisbane,Medical treatment,Yes,Yes,Yes,Yes,No,No,Yes,1,0,0,1,0,1
2001,Brisbane,Medical treatment,Yes,Yes,Yes,Yes,Yes,No,No,26,0,0,35,0,35
2001,Brisbane,Minor injury,No,No,No,No,No,No,No,18,0,0,0,18,18
2001,Brisbane,Minor injury,No,Yes,No,No,No,No,No,129,0,0,0,148,148
2001,Brisbane,Minor injury,No,Yes,No,No,No,No,Yes,4,0,0,0,5,5
2001,Brisbane,Minor injury,No,Yes,No,No,No,Yes,No,2,0,0,0,2,2
2001,Brisbane,Minor injury,No,Yes,No,No,Yes,No,No,2,0,0,0,2,2
2001,Brisbane,Minor injury,No,Yes,No,Yes,No,No,No,14,0,0,0,16,16
2001,Brisbane,Minor injury,No,Yes,Yes,No,No,No,No,48,0,0,0,54,54
2001,Brisbane,Minor injury,No,Yes,Yes,No,No,No,Yes,4,0,0,0,4,4
2001,Brisbane,Minor injury,No,Yes,Yes,No,No,Yes,No,1,0,0,0,1,1
2001,Brisbane,Minor injury,No,Yes,Yes,No,Yes,No,No,56,0,0,0,75,75
2001,Brisbane,Minor injury,No,Yes,Yes,Yes,No,No,No,4,0,0,0,6,6
2001,Brisbane,Minor injury,No,Yes,Yes,Yes,Yes,No,No,3,0,0,0,6,6
2001,Brisbane,Minor injury,Yes,No,No,No,No,No,No,283,0,0,0,318,318
2001,Brisbane,Minor injury,Yes,No,No,No,No,No,Yes,5,0,0,0,6,6
2001,Brisbane,Minor injury,Yes,No,No,No,No,Yes,No,8,0,0,0,8,8
2001,Brisbane,Minor injury,Yes,No,No,No,Yes,No,No,13,0,0,0,15,15
2001,Brisbane,Minor injury,Yes,No,No,Yes,No,No,No,64,0,0,0,72,72
2001,Brisbane,Minor injury,Yes,No,No,Yes,No,Yes,No,2,0,0,0,2,2
2001,Brisbane,Minor injury,Yes,No,No,Yes,Yes,No,No,4,0,0,0,5,5
2001,Brisbane,Minor injury,Yes,No,Yes,No,No,No,No,72,0,0,0,87,87
2001,Brisbane,Minor injury,Yes,No,Yes,No,No,No,Yes,10,0,0,0,11,11
2001,Brisbane,Minor injury,Yes,No,Yes,No,No,Yes,No,4,0,0,0,5,5
2001,Brisbane,Minor injury,Yes,No,Yes,No,Yes,No,No,115,0,0,0,144,144
2001,Brisbane,Minor injury,Yes,No,Yes,No,Yes,No,Yes,1,0,0,0,1,1
2001,Brisbane,Minor injury,Yes,No,Yes,No,Yes,Yes,No,3,0,0,0,4,4
2001,Brisbane,Minor injury,Yes,No,Yes,Yes,No,No,No,10,0,0,0,12,12
2001,Brisbane,Minor injury,Yes,No,Yes,Yes,No,Yes,Yes,1,0,0,0,1,1
2001,Brisbane,Minor injury,Yes,No,Yes,Yes,Yes,No,No,3,0,0,0,3,3
2001,Brisbane,Minor injury,Yes,Yes,No,No,No,No,No,208,0,0,0,246,246
2001,Brisbane,Minor injury,Yes,Yes,No,No,No,No,Yes,11,0,0,0,12,12
2001,Brisbane,Minor injury,Yes,Yes,No,No,No,Yes,No,6,0,0,0,6,6
2001,Brisbane,Minor injury,Yes,Yes,No,No,Yes,No,No,6,0,0,0,7,7
2001,Brisbane,Minor injury,Yes,Yes,No,Yes,No,No,No,54,0,0,0,65,65
2001,Brisbane,Minor injury,Yes,Yes,No,Yes,No,No,Yes,1,0,0,0,1,1
2001,Brisbane,Minor injury,Yes,Yes,No,Yes,No,Yes,No,2,0,0,0,2,2
2001,Brisbane,Minor injury,Yes,Yes,No,Yes,Yes,No,No,1,0,0,0,2,2
2001,Brisbane,Minor injury,Yes,Yes,Yes,No,No,No,No,91,0,0,0,108,108
2001,Brisbane,Minor injury,Yes,Yes,Yes,No,No,No,Yes,7,0,0,0,8,8
2001,Brisbane,Minor injury,Yes,Yes,Yes,No,No,Yes,No,4,0,0,0,6,6
2001,Brisbane,Minor injury,Yes,Yes,Yes,No,Yes,No,No,133,0,0,0,169,169
2001,Brisbane,Minor injury,Yes,Yes,Yes,No,Yes,No,Yes,3,0,0,0,6,6
2001,Brisbane,Minor injury,Yes,Yes,Yes,No,Yes,Yes,No,5,0,0,0,8,8
2001,Brisbane,Minor injury,Yes,Yes,Yes,Yes,No,No,No,13,0,0,0,18,18
2001,Brisbane,Minor injury,Yes,Yes,Yes,Yes,No,No,Yes,1,0,0,0,2,2
2001,Brisbane,Minor injury,Yes,Yes,Yes,Yes,Yes,No,No,7,0,0,0,11,11
2001,Brisbane,Property damage only,No,No,No,No,No,No,No,71,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,No,No,No,No,149,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,No,No,No,Yes,8,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,No,No,Yes,No,7,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,No,Yes,No,No,5,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,Yes,No,No,No,34,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,Yes,No,No,Yes,1,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,Yes,No,Yes,No,1,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,No,No,No,No,67,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,No,No,No,Yes,8,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,No,No,Yes,No,1,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,No,Yes,No,No,83,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,Yes,No,No,No,2,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,Yes,Yes,No,No,1,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,No,No,No,No,464,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,No,No,No,Yes,33,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,No,No,Yes,No,12,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,No,Yes,No,No,22,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,Yes,No,No,No,87,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,Yes,No,No,Yes,2,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,Yes,No,Yes,No,2,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,Yes,Yes,No,No,4,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,No,No,No,No,205,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,No,No,No,Yes,32,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,No,No,Yes,No,6,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,No,Yes,No,No,291,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,No,Yes,No,Yes,8,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,No,Yes,Yes,No,2,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,Yes,No,No,No,18,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,Yes,No,No,Yes,1,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,Yes,Yes,No,No,21,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,No,No,No,No,287,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,No,No,No,Yes,11,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,No,No,Yes,No,10,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,No,Yes,No,No,11,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,Yes,No,No,No,94,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,Yes,No,No,Yes,3,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,Yes,No,Yes,No,3,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,Yes,Yes,No,No,1,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,No,No,No,No,134,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,No,No,No,Yes,9,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,No,No,Yes,No,10,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,No,Yes,No,No,194,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,No,Yes,No,Yes,5,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,No,Yes,Yes,No,4,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,Yes,No,No,No,22,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,Yes,No,No,Yes,3,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,Yes,No,Yes,No,1,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,Yes,Yes,No,No,24,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,Yes,Yes,No,Yes,1,0,0,0,0,0
2001,Central,Fatal,No,No,No,No,No,No,No,1,1,0,0,0,1
2001,Central,Fatal,No,Yes,No,No,No,No,No,11,14,2,0,1,17
2001,Central,Fatal,No,Yes,No,Yes,No,No,No,1,1,0,0,0,1
2001,Central,Fatal,Yes,No,No,No,No,No,No,27,27,2,3,0,32
2001,Central,Fatal,Yes,No,No,No,No,Yes,No,1,1,1,0,0,2
2001,Central,Fatal,Yes,No,No,No,Yes,No,No,3,3,0,0,0,3
2001,Central,Fatal,Yes,No,No,Yes,No,No,No,7,9,7,0,0,16
2001,Central,Fatal,Yes,No,No,Yes,No,No,Yes,1,1,1,0,0,2
2001,Central,Fatal,Yes,No,No,Yes,No,Yes,No,1,1,2,0,0,3
2001,Central,Fatal,Yes,No,Yes,No,No,No,No,5,5,7,3,0,15
2001,Central,Fatal,Yes,No,Yes,No,No,No,Yes,2,2,3,0,0,5
2001,Central,Fatal,Yes,No,Yes,No,Yes,No,No,12,12,5,7,0,24
2001,Central,Fatal,Yes,No,Yes,Yes,No,Yes,No,1,1,0,0,0,1
2001,Central,Fatal,Yes,No,Yes,Yes,Yes,Yes,No,1,2,0,0,0,2
2001,Central,Fatal,Yes,Yes,No,No,No,No,No,4,4,1,0,1,6
2001,Central,Fatal,Yes,Yes,No,No,No,Yes,No,1,2,0,0,0,2
2001,Central,Fatal,Yes,Yes,No,Yes,No,No,No,4,5,5,1,0,11
2001,Central,Fatal,Yes,Yes,Yes,No,No,No,No,1,1,0,0,0,1
2001,Central,Fatal,Yes,Yes,Yes,No,No,No,Yes,1,1,3,0,2,6
2001,Central,Fatal,Yes,Yes,Yes,No,No,Yes,No,1,1,0,0,0,1
2001,Central,Fatal,Yes,Yes,Yes,No,Yes,No,No,1,1,3,1,0,5
2001,Central,Fatal,Yes,Yes,Yes,Yes,No,No,No,1,1,0,0,0,1
2001,Central,Fatal,Yes,Yes,Yes,Yes,Yes,No,No,2,2,1,0,2,5
2001,Central,Hospitalisation,No,No,No,No,No,No,No,12,0,13,0,0,13
2001,Central,Hospitalisation,No,Yes,No,No,No,No,No,106,0,129,10,4,143
2001,Central,Hospitalisation,No,Yes,No,No,No,No,Yes,5,0,5,1,0,6
2001,Central,Hospitalisation,No,Yes,No,No,No,Yes,No,1,0,1,0,0,1
2001,Central,Hospitalisation,No,Yes,No,No,Yes,No,No,1,0,1,0,0,1
2001,Central,Hospitalisation,No,Yes,No,Yes,No,No,No,18,0,22,1,1,24
2001,Central,Hospitalisation,No,Yes,No,Yes,No,Yes,No,2,0,3,1,0,4
2001,Central,Hospitalisation,No,Yes,No,Yes,Yes,No,No,1,0,1,0,0,1
2001,Central,Hospitalisation,No,Yes,Yes,No,No,No,No,20,0,24,1,0,25
2001,Central,Hospitalisation,No,Yes,Yes,No,No,No,Yes,6,0,13,0,0,13
2001,Central,Hospitalisation,No,Yes,Yes,No,No,Yes,No,1,0,2,0,0,2
2001,Central,Hospitalisation,No,Yes,Yes,No,Yes,No,No,37,0,51,7,1,59
2001,Central,Hospitalisation,No,Yes,Yes,Yes,No,No,No,4,0,5,2,0,7
2001,Central,Hospitalisation,No,Yes,Yes,Yes,No,No,Yes,1,0,1,1,0,2
2001,Central,Hospitalisation,No,Yes,Yes,Yes,Yes,No,No,2,0,2,0,1,3
2001,Central,Hospitalisation,Yes,No,No,No,No,No,No,253,0,288,26,11,325
2001,Central,Hospitalisation,Yes,No,No,No,No,No,Yes,19,0,27,0,1,28
2001,Central,Hospitalisation,Yes,No,No,No,No,Yes,No,5,0,6,2,0,8
2001,Central,Hospitalisation,Yes,No,No,No,Yes,No,No,12,0,19,27,1,47
2001,Central,Hospitalisation,Yes,No,No,Yes,No,No,No,59,0,70,6,5,81
2001,Central,Hospitalisation,Yes,No,No,Yes,No,No,Yes,2,0,2,0,0,2
2001,Central,Hospitalisation,Yes,No,No,Yes,No,Yes,No,1,0,1,0,1,2
2001,Central,Hospitalisation,Yes,No,Yes,No,No,No,No,73,0,86,8,4,98
2001,Central,Hospitalisation,Yes,No,Yes,No,No,No,Yes,19,0,27,7,1,35
2001,Central,Hospitalisation,Yes,No,Yes,No,No,Yes,No,9,0,13,1,1,15
2001,Central,Hospitalisation,Yes,No,Yes,No,Yes,No,No,78,0,100,10,7,117
2001,Central,Hospitalisation,Yes,No,Yes,No,Yes,No,Yes,2,0,5,0,0,5
2001,Central,Hospitalisation,Yes,No,Yes,No,Yes,Yes,No,1,0,1,1,0,2
2001,Central,Hospitalisation,Yes,No,Yes,Yes,No,No,No,4,0,4,1,0,5
2001,Central,Hospitalisation,Yes,No,Yes,Yes,No,No,Yes,1,0,1,0,0,1
2001,Central,Hospitalisation,Yes,No,Yes,Yes,Yes,No,No,4,0,6,2,0,8
2001,Central,Hospitalisation,Yes,Yes,No,No,No,No,No,46,0,63,9,3,75
2001,Central,Hospitalisation,Yes,Yes,No,No,No,No,Yes,3,0,6,1,0,7
2001,Central,Hospitalisation,Yes,Yes,No,No,No,Yes,No,4,0,4,1,0,5
2001,Central,Hospitalisation,Yes,Yes,No,Yes,No,No,No,34,0,41,11,3,55
2001,Central,Hospitalisation,Yes,Yes,No,Yes,No,Yes,No,1,0,1,4,1,6
2001,Central,Hospitalisation,Yes,Yes,No,Yes,Yes,No,No,2,0,3,0,2,5
2001,Central,Hospitalisation,Yes,Yes,Yes,No,No,No,No,19,0,25,10,4,39
2001,Central,Hospitalisation,Yes,Yes,Yes,No,No,No,Yes,4,0,10,1,0,11
2001,Central,Hospitalisation,Yes,Yes,Yes,No,No,Yes,No,2,0,8,1,0,9
2001,Central,Hospitalisation,Yes,Yes,Yes,No,Yes,No,No,28,0,38,5,2,45
2001,Central,Hospitalisation,Yes,Yes,Yes,Yes,No,No,No,4,0,4,2,3,9
2001,Central,Hospitalisation,Yes,Yes,Yes,Yes,Yes,No,No,12,0,15,6,0,21
2001,Central,Medical treatment,No,No,No,No,No,No,No,21,0,0,21,0,21
2001,Central,Medical treatment,No,Yes,No,No,No,No,No,143,0,0,177,7,184
2001,Central,Medical treatment,No,Yes,No,No,No,No,Yes,2,0,0,2,0,2
2001,Central,Medical treatment,No,Yes,No,No,No,Yes,No,3,0,0,3,0,3
2001,Central,Medical treatment,No,Yes,No,No,Yes,No,No,5,0,0,6,1,7
2001,Central,Medical treatment,No,Yes,No,Yes,No,No,No,31,0,0,35,6,41
2001,Central,Medical treatment,No,Yes,No,Yes,No,Yes,No,3,0,0,3,0,3
2001,Central,Medical treatment,No,Yes,Yes,No,No,No,No,44,0,0,55,2,57
2001,Central,Medical treatment,No,Yes,Yes,No,No,No,Yes,6,0,0,9,3,12
2001,Central,Medical treatment,No,Yes,Yes,No,Yes,No,No,65,0,0,85,11,96
2001,Central,Medical treatment,No,Yes,Yes,Yes,No,No,No,3,0,0,3,0,3
2001,Central,Medical treatment,No,Yes,Yes,Yes,Yes,No,No,1,0,0,1,0,1
2001,Central,Medical treatment,Yes,No,No,No,No,No,No,200,0,0,231,9,240
